Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
FCPF,662,675,1272,1361,1449,541,496,697,943,359,466,275
fcsA,5,4,5,11,7,2,4,1,6,2,12,16
fd1,925,599,1228,279,326,262,171,356,560,181,242,121
Fdft1,51,52,78,121,67,58,26,31,73,17,38,30
fdhC,526,367,800,764,875,436,292,526,636,258,329,225
Fem1b,16,16,34,47,52,21,26,36,47,29,42,16
FEN1,53,51,86,84,83,32,30,49,69,18,37,36
Fer1l4,27,21,41,45,38,19,13,11,26,12,15,19
FES1,333,211,400,273,325,148,99,159,220,77,101,69
fft1,80,74,136,119,123,63,35,75,96,27,61,39
FGRAMPH1_01T20223,18,9,34,23,30,14,13,12,10,5,7,2
FH11,58,49,101,134,205,51,41,69,81,33,52,29
FH14,91,89,188,49,48,50,16,42,50,9,24,12
FH7,12,25,36,26,33,12,13,19,38,9,19,26
fhaB,25,14,37,17,38,9,7,16,22,5,10,5
fhkA,200,131,247,194,295,113,62,119,132,43,53,30
fhkC,111,98,174,120,165,69,49,116,154,63,74,34
fhkD,13,37,59,53,41,26,25,26,41,19,17,8
fhkE,155,157,271,242,226,132,89,157,221,68,105,62
Fig4,48,47,72,92,64,50,20,42,47,19,30,8
fimA,20,12,11,21,11,8,25,25,48,21,37,34
fkbp1a,62,36,85,37,77,14,27,52,46,14,20,8
FKBP20-2,20,5,8,5,10,4,1,1,2,3,1,0
fkbp4,97,51,112,74,113,46,41,102,82,22,40,22
FKBP5,18,4,14,11,18,8,3,8,6,4,1,0
FKBP59,23,8,15,31,50,22,12,27,21,11,20,12
FKBP62,50,62,118,103,96,41,42,60,120,46,64,37
FKBP65,91,55,120,115,101,74,29,40,67,20,25,16
FKBP70,13,5,8,9,9,6,1,3,6,3,10,0
FKS1,48,51,92,83,73,37,40,48,61,30,39,25
FLA10,452,361,617,403,510,261,150,282,446,160,229,215
Flad1,180,91,241,142,244,93,36,119,107,43,68,25
flaEY,35,33,83,75,83,29,27,44,75,13,17,9
flpA,36,39,70,50,55,32,26,34,68,29,42,16
FLS2,3,0,0,1,4,1,0,1,2,0,1,2
FMN2,10,26,44,13,22,16,11,11,20,8,7,10
