Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
ppsD,35,47,44,76,29,32,42,79,33,55,31,49
ppt-1,147,171,118,157,95,99,56,121,65,169,28,57
ppt1,37,53,58,85,45,25,51,78,41,86,15,25
PPT2,8,17,33,11,3,3,11,15,5,10,6,2
pptc7,10,8,22,13,4,3,4,7,4,8,0,1
PputGB1_4377,79,83,71,118,67,51,31,56,29,130,15,20
PPX2,71,96,99,145,81,42,36,70,41,89,7,37
prafB,40,43,55,59,37,21,33,43,33,43,10,17
PRDX5,76,57,69,52,42,42,82,105,63,86,31,52
prf1,84,86,89,114,71,78,76,110,105,194,60,66
prfA,44,62,76,82,51,47,42,88,39,84,21,39
PRG4,12,27,27,17,9,7,18,15,6,24,5,4
Prim2,101,103,107,143,86,60,43,80,42,113,26,37
primpol,33,44,49,42,53,30,12,38,18,73,12,15
PRKAA1,124,142,164,251,136,141,58,130,55,195,27,28
PRKAA2,7,15,22,46,21,6,21,33,18,42,8,11
PRKACA,278,340,413,482,274,194,193,400,206,564,116,162
Prkar2a,4,10,11,1,6,2,10,23,13,8,3,10
Prkar2b,27,44,69,60,53,34,14,26,16,98,8,18
PRKG1,145,155,214,216,120,83,97,178,89,276,49,71
PRKG2,54,68,88,103,79,47,69,127,63,134,31,49
Prkx,3,10,7,5,6,5,6,16,11,14,6,6
prmC,27,35,46,44,41,19,33,65,27,104,29,36
PRMT10,30,43,67,70,37,28,34,72,39,86,20,35
PRMT16,15,12,8,9,4,3,16,20,5,7,3,8
PRMT3,5,8,6,4,3,3,2,2,3,2,0,0
prmt8b,7,6,5,6,6,1,1,6,2,6,2,0
proC,18,11,20,24,5,4,5,3,4,6,1,0
proI,24,8,10,10,4,16,10,27,12,17,3,9
proP,143,146,176,179,109,82,77,169,84,177,52,77
PRORP1,30,58,55,35,12,20,17,56,17,55,9,20
proRS,75,68,73,84,68,53,43,66,28,67,15,15
proS,58,54,96,84,56,55,28,63,18,89,19,25
Prosc,13,10,9,15,6,8,5,5,6,9,1,2
PRP19,114,121,128,183,92,70,65,108,50,131,25,43
Prp38,32,60,49,94,49,53,22,35,17,59,8,23
prp4,371,205,281,231,220,188,94,148,77,279,56,90
PRP40A,20,54,70,97,58,52,82,157,106,153,69,135
PRP40B,3,6,9,10,11,3,1,9,1,7,2,2
PRP46,17,33,37,35,24,22,12,28,24,63,8,23
prpD1,30,40,69,111,64,60,86,159,86,149,52,85
prpf18,6,5,4,8,8,6,5,4,8,4,2,1
PRPF19,145,121,136,177,94,92,62,89,46,160,21,43
PRPF3,119,171,177,230,125,120,54,127,65,166,35,72
PRPF4,22,39,37,30,10,14,6,20,9,17,10,13
PRPF40A,4,8,15,7,4,6,1,3,0,9,1,2
Prpf8,25,20,32,43,27,13,24,62,21,62,14,29
PRSS12,0,0,0,1,0,0,0,3,0,0,1,0
Prss16,104,105,138,136,81,64,81,127,82,209,62,70
PRT1,11,16,27,18,13,8,12,37,13,40,3,17
Prune1,26,21,19,42,21,11,4,21,7,11,2,6
Prx,59,51,42,50,26,21,29,40,17,36,9,9
PSAE,8,1,2,6,4,4,13,22,10,10,6,8
psaF,360,259,242,476,200,183,108,226,110,194,38,87
PSAT,8,7,10,7,5,6,9,16,15,25,6,4
psbJ,18,20,24,26,7,15,13,13,7,21,3,3
PSBO,1111,714,564,1642,827,864,531,924,598,916,204,409
PSL5,98,121,147,166,95,78,74,143,108,249,52,82
psmA7,100,107,140,177,113,80,44,90,38,155,22,50
psmB6,73,53,56,95,43,40,33,49,31,72,11,24
Psmc3,25,29,36,56,21,15,19,55,24,31,12,29
Psmc6,68,63,76,124,59,47,13,41,20,98,12,21
psmD10,60,60,75,70,33,26,23,41,16,44,8,10
psmD13,66,31,39,80,73,42,34,82,65,130,29,37
PSMD9,54,52,89,63,39,38,38,120,58,93,35,56
psmG1,492,383,473,754,611,645,523,921,395,1072,269,347
PSPH,51,55,99,122,74,64,40,73,27,173,10,19
PSPTO_1126,77,75,80,90,47,52,28,77,32,69,24,18
PSR,66,68,50,54,54,57,77,99,67,143,36,112
pst-1,13,16,12,27,14,12,10,29,17,31,5,13
pstS,41,73,87,118,54,49,33,101,32,103,26,46
ptc1,107,132,135,201,145,98,84,166,76,200,39,66
PTCHD2,10,11,16,22,20,12,24,38,12,47,9,26
Ptchd3,68,107,128,179,90,55,102,216,108,237,64,75
PTEN1,32,22,24,35,14,14,26,37,22,72,12,31
PTGES2,16,28,23,33,13,11,11,18,12,9,5,6
pth,120,109,106,116,64,52,94,148,74,118,32,65
PTPMT1,0,1,2,5,2,1,3,4,2,4,2,2
ptprf,9,9,13,17,10,6,6,9,6,18,6,3
PTSG_11094,12,13,13,36,20,21,12,20,19,36,7,4
PTTG_06795,0,0,1,2,0,1,1,0,1,2,2,0
PU1,3,4,6,11,11,2,8,11,11,7,5,6
PUB3,16,18,22,33,16,11,17,24,15,42,9,11
PUB50,3,5,1,5,1,1,2,14,8,6,5,5
PUB51,4,8,17,9,3,1,9,34,11,17,8,8
PUF6,11,22,32,50,26,17,30,61,18,69,22,15
pum,56,70,57,73,44,14,10,34,18,60,5,15
pum1,26,19,21,42,7,13,29,44,36,64,10,17
Pum2,16,26,22,16,6,7,17,26,11,28,6,13
PUMP1,14,16,11,20,10,8,7,3,2,15,0,3
PUMP2,14,10,29,19,9,1,4,13,8,25,3,3
PUMP3,0,1,0,0,1,0,1,1,1,0,1,0
PUMP5,239,316,325,346,174,132,107,230,100,232,62,106
purD,16,31,56,42,18,14,14,21,5,44,5,6
Pus10,1,2,3,1,5,3,1,4,2,4,2,3
pus2,10,14,11,24,12,13,12,21,9,35,6,7
PUS7,12,17,17,22,10,14,3,10,7,15,1,1
PXC1,10,16,21,14,8,6,17,39,15,22,15,19
Pxk,39,27,40,32,13,5,12,21,15,41,8,16
Pxn,75,91,113,138,87,106,71,137,76,209,58,60
PY01155,69,60,69,90,78,64,43,97,44,75,16,48
PY06059,109,101,100,153,94,51,36,59,14,71,16,19
PYK,479,617,675,984,470,395,319,584,286,845,160,301
pyk3,34,54,46,50,70,58,14,29,14,62,8,14
Pym,14,27,35,36,16,17,1,15,5,16,3,10
pyr-1,8,13,24,39,17,16,8,50,23,32,6,10
PYRAB13990,1,11,4,17,8,9,14,31,14,24,5,18
pyrBI,170,131,178,198,142,86,32,75,47,159,19,43
QSOX1,0,7,8,14,12,7,10,9,8,19,4,10
qtrt1,33,22,29,31,18,15,19,44,14,30,5,19
qua,19,21,26,40,17,11,6,9,4,19,0,5
r,10,9,8,6,12,6,14,23,13,27,13,12
R1,152,207,230,285,136,128,136,312,153,312,74,176
rab-6.2,58,52,63,51,54,42,28,44,29,87,11,25
rab11A,20,7,2,19,5,8,2,7,4,16,2,2
RAB1B,7,13,18,11,7,1,5,8,4,10,3,2
RAB3GAP1,25,18,19,20,19,10,5,17,5,23,2,1
Rab4a,13,17,22,31,20,23,16,27,22,63,11,6
RAB5,32,19,30,23,12,6,8,20,12,31,5,7
RAB5A,1,3,10,6,8,3,4,12,1,14,7,4
Rabac1,10,8,14,15,4,4,1,7,2,8,1,8
RABGAP1L,6,15,19,23,16,11,11,10,12,25,1,5
RAD16,5,7,7,14,14,7,1,13,7,13,10,10
RAD23B,7,15,10,7,5,3,9,11,5,17,2,7
RAD4,25,20,20,40,24,13,19,27,21,24,7,15
Rad50,7,21,26,34,18,14,35,85,37,53,27,46
Rad54b,8,14,15,17,9,6,13,24,8,21,6,11
RAD5A,169,235,227,316,153,126,86,190,85,193,55,80
RAD5B,19,23,34,26,19,17,27,68,17,35,21,19
RAE1,101,83,123,104,81,61,69,116,69,159,35,32
Rai14,54,64,82,87,45,32,25,56,28,68,18,22
Ranbp2,86,79,58,71,31,28,25,49,25,66,18,25
RanGAP,3,3,2,5,4,1,4,11,3,5,7,9
ravA,30,28,35,21,14,15,25,54,22,45,11,25
rbcL,310,529,618,686,387,299,258,618,248,506,152,349
RBCMT,24,22,22,32,14,11,14,26,11,17,6,5
RBG3,7,12,15,26,10,9,6,13,3,13,3,3
Rbm17,63,108,104,164,75,76,28,57,41,149,25,33
RBM25,16,21,18,39,20,14,25,33,24,49,12,19
Rbp1,33,33,50,42,26,20,14,16,15,50,9,11
Rbx1,43,24,34,31,25,27,13,23,15,34,5,13
Rcbtb2,80,103,93,116,56,63,58,116,36,99,30,31
rcc1,39,42,41,50,29,26,21,79,47,56,21,44
rcd1,18,16,28,29,19,20,19,42,23,50,15,17
RCJMB04_7l9,92,64,61,101,54,52,31,60,41,73,13,20
Rcn1,60,87,119,125,53,64,41,126,62,167,34,58
RCN3,47,57,51,74,43,34,29,64,24,79,11,24
rco-3,26,44,45,35,20,19,19,55,34,89,21,31
RD21A,61,70,127,103,79,41,28,103,50,117,16,30
RD21C,115,111,106,105,107,57,52,82,45,112,21,27
rdgA,0,11,4,10,2,4,7,14,19,18,7,15
RDH11,10,8,7,13,8,3,6,14,6,16,4,6
RDH14,31,35,54,27,12,11,11,25,15,24,9,11
RDH8,11,21,17,4,5,4,2,11,2,10,6,2
rdpA,30,27,24,63,47,45,34,71,39,82,17,27
RDR1,36,56,78,121,88,66,30,72,43,99,19,30
rebM,6,14,8,16,4,1,6,9,2,12,0,0
recA,44,68,58,70,17,21,6,24,12,32,7,20
regA,9,18,22,34,15,6,3,8,0,30,4,2
REL2,5,5,6,6,5,4,4,8,5,4,4,1
relA,16,30,40,35,30,17,25,61,23,51,15,20
retsat,97,118,148,155,79,59,157,328,152,270,107,189
rev1,126,104,126,152,108,101,53,110,46,204,31,39
RF_0381,187,219,296,444,222,144,151,303,171,418,101,135
Rf1,174,200,225,254,116,73,69,148,59,160,31,42
RF55_6349,43,50,59,67,30,29,46,93,48,102,26,39
rfbE,39,51,37,49,18,19,14,35,15,50,13,7
