Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
rpsO,186,209,261,296,339,140,199,140,128,277,98
rskn-1,402,518,583,334,390,167,228,100,118,287,86
rsmF,1276,1398,1214,1112,1492,392,868,484,483,866,325
RTase,136,176,137,132,163,143,124,141,150,344,121
rtcb,207,224,188,193,234,89,137,118,119,226,50
RUB1,269,422,415,360,465,236,310,167,194,468,160
SACS,166,201,228,103,237,113,143,144,144,349,118
SACTE_4363,4305,3832,3712,5198,3725,3880,4144,3690,4072,4164,3925
SAHH,690,712,790,810,975,508,723,514,578,1014,407
SAMHD1,113,132,121,58,39,46,31,33,49,77,23
SART1,270,332,336,246,312,128,232,144,127,261,74
Scn10a,652,760,670,604,698,290,443,267,280,511,205
Scn11a,1623,1998,2013,1744,2088,918,1435,850,1005,2080,659
Scn3a,88,99,94,100,95,40,76,32,44,79,27
scn4aa,270,331,287,249,278,157,174,155,154,394,130
Scn8a,168,184,217,125,178,74,127,41,38,99,37
SCN9A,196,251,222,206,208,130,190,141,147,302,117
SDH2-2,502,557,552,521,496,251,297,178,163,313,105
sds21,134,160,150,127,110,42,94,47,53,144,61
sec14,553,753,706,592,599,196,382,269,249,485,168
sec61a,715,805,756,572,645,284,457,314,305,641,210
secA,355,385,443,284,415,187,314,188,204,430,145
secG,237,332,298,227,260,96,181,112,104,253,68
44076,926,932,819,875,1004,577,679,644,717,1456,504
serC,246,294,321,290,340,194,226,171,186,427,133
serS,61,67,69,50,75,32,50,25,35,82,20
setd3,100,134,118,91,112,13,74,18,23,43,13
SETD4,152,216,214,198,233,82,149,100,117,241,61
Setd6,537,664,571,562,546,169,347,211,202,461,161
SF3B1,399,551,526,361,460,225,322,211,223,498,172
Shal,259,283,326,279,236,190,168,143,135,310,105
SHM4,810,856,921,892,932,495,593,406,447,899,332
shoc2,191,249,237,162,244,57,136,80,99,174,79
Slc24a1,25,28,30,12,27,10,23,13,12,34,6
SLC24A2,126,182,180,178,259,103,181,97,113,277,74
SLC25A17,292,407,362,408,378,207,265,206,186,391,121
slc25a42,198,254,232,151,179,74,157,95,100,199,50
SLC32A1,168,218,224,212,282,115,185,104,122,263,76
Slc35a3,120,177,150,119,109,87,68,104,115,229,72
SLC38A1,30,39,33,46,62,57,42,44,53,114,41
SLC38A11,306,377,305,249,265,120,186,153,181,282,101
slc38a6,174,193,176,143,158,104,101,97,101,216,57
Slc44a2,226,289,259,230,225,166,186,143,182,286,131
SLC47A1,105,130,126,75,101,108,85,125,122,276,93
Slc4a1,317,379,376,254,282,182,213,136,157,334,111
SLC8A1,231,262,269,245,344,256,246,273,249,541,166
Slc8a2,40,54,45,50,52,39,43,21,34,70,33
Slc8a3,95,138,137,132,165,85,94,59,52,151,61
slr0305,214,239,210,155,204,88,132,80,89,205,52
SmB,145,163,159,129,159,55,102,72,68,125,50
smc3,132,155,141,107,106,63,58,59,71,153,52
Smyd3,1127,1255,1119,961,966,324,627,360,324,669,242
sodA,216,214,250,178,187,82,139,99,96,176,43
SPAC56F8.03,180,263,298,154,210,186,159,172,193,381,113
Spag1,606,721,701,614,786,296,421,310,286,660,226
SPBC21B10.07,551,666,628,296,412,229,298,220,220,489,153
SPON1,414,599,711,367,466,258,322,227,245,566,195
SPOPL,36,51,63,43,49,27,42,55,48,80,12
spoVK,32,38,42,104,152,30,91,47,72,111,54
SPY,166,214,196,169,225,100,121,113,102,193,77
SRFR1,78,98,89,72,108,62,80,57,81,173,48
Srsf3,74,70,72,72,80,23,71,18,21,46,17
SSM4,0,0,0,5,1,10,2,21,10,25,3
sthA,100,125,116,105,141,79,108,81,89,182,69
sti1,83,109,101,212,166,129,113,98,100,210,66
STR6,235,303,255,276,276,112,182,118,138,246,83
stt3,374,444,418,339,418,239,306,249,262,586,240
SULTR4;2,302,347,310,344,396,161,261,155,162,341,122
SVEP1,669,871,971,548,855,535,640,511,524,1050,333
svop,300,353,309,384,444,210,259,231,188,493,136
svop-1,424,469,422,293,355,234,304,255,242,445,149
SWA2,442,519,545,295,419,211,290,211,206,453,170
SYRV3,4,10,5,123,181,48,97,38,38,93,28
SYT4,64,81,87,54,84,21,40,17,25,55,13
T23G5.2,176,186,222,124,180,65,110,87,83,167,57
TATDN2,130,132,125,56,71,41,52,35,34,78,33
TBC1D13,309,383,418,221,275,104,174,114,103,239,75
Tc00.1047053511287.49,253,375,300,194,218,76,136,76,87,157,64
TDP1,96,112,123,129,166,125,111,114,130,292,91
TE1,115,138,138,120,111,48,75,58,67,143,53
tef3,54,83,131,103,209,86,157,76,100,147,49
tetA,89,117,103,79,71,21,41,13,20,41,18
Tgtp2,736,931,857,701,861,369,589,332,397,685,235
TIPARP,197,241,208,163,177,111,137,134,141,228,81
Tldc2,122,173,181,101,142,45,96,45,50,115,35
Tmem110,141,130,94,104,118,62,94,94,54,133,28
TMN7,221,285,239,191,255,142,207,125,129,305,112
Tmod2,119,204,169,165,220,119,156,120,120,183,75
TNC,67,90,118,81,157,60,86,67,79,153,47
TNKS,1073,1300,1319,1124,1479,659,990,645,659,1430,439
Tnks2,238,323,301,279,381,174,285,174,170,400,121
TOE1,167,146,168,71,74,26,56,39,35,85,28
TOP2,98,133,126,87,181,117,103,78,86,178,44
