"","baseMean","log2FoldChange","pvalue","padj"
"SymbC1.scaffold11523.1",10.7014148212538,1.17056652712302,0.0316053593697164,NA
"SymbC1.scaffold642.1",1.94125992929713,1.16848694336191,0.065423712655917,NA
"SymbC1.scaffold2825.6",0.685399015439768,1.16668447844939,0.203889989535144,NA
"SymbC1.scaffold6309.3",2.35610854709997,1.16620235158627,0.0238815564788607,NA
"SymbC1.scaffold742.9",1.80592488720122,1.16600052421329,0.0705875932605905,NA
"SymbC1.scaffold436.3",7.14084846732663,1.1572752401792,0.000196714584646912,NA
"SymbC1.scaffold4155.2",3.24967064083419,1.15461206197897,0.00992322370622012,NA
"SymbC1.scaffold9481.2",1.09546493864833,1.15115303189354,0.140631641780964,NA
"SymbC1.scaffold297.4",2.41635868898888,1.14647061378192,0.0324111442852277,NA
"SymbC1.scaffold796.13",2.46775165829714,1.14112323307608,0.0354606870597852,NA
"SymbC1.scaffold5134.1",5.98840981152359,1.14005071418466,0.000722784788601522,NA
"SymbC1.scaffold4474.6",0.671478160105364,1.1382063954237,0.208264479463597,NA
"SymbC1.scaffold350.1",1.33074948487456,1.13756926540039,0.550876945403617,NA
"SymbC1.scaffold9129.1",1.09852318560273,1.13596896268976,0.138141892876727,NA
"SymbC1.scaffold1169.10",4.20154389151911,1.13426333748589,0.00404179755223441,NA
"SymbC1.scaffold2192.4",0.86228774564508,1.13326129908815,0.180375326536928,NA
"SymbC1.scaffold18115.2",0.386126476945002,1.13218752847953,0.328060626668307,NA
"SymbC1.scaffold6055.1",2.42221028954381,1.12872626492903,0.0266268395779577,NA
"SymbC1.scaffold12389.1",0.399442947533689,1.11778783013416,0.426424861462742,NA
"SymbC1.scaffold1778.1",1.51520837372389,1.11623370103333,0.0863035316288204,NA
"SymbC1.scaffold953.2",1.63092331256129,1.11486411015938,0.100707774312487,NA
"SymbC1.scaffold678.6",5.97185180764715,1.11128791876523,0.00223986667223137,NA
"SymbC1.scaffold8076.2",2.61471200040103,1.10929800408764,0.0321184110731273,NA
"SymbC1.scaffold7796.2",1.06329866335828,1.10757425165676,0.165118991450815,NA
"SymbC1.scaffold4148.2",0.503640385692757,1.1060403670912,0.324645976001027,NA
"SymbC1.scaffold1116.11",1.78519186850328,1.10388450289961,0.072242380241969,NA
"SymbC1.scaffold2359.5",0.650247848810252,1.10368368943384,0.28706980823956,NA
"SymbC1.scaffold5633.2",2.65070214349386,1.09040619515154,0.0582290084267258,NA
"SymbC1.scaffold3433.2",4.08159967527621,1.08379216211011,0.00533136186872856,NA
"SymbC1.scaffold7583.4",1.24911890361507,1.08341800225383,0.159144500144759,NA
