Gene,Hw1-4a,Hw1-4b,Hw1-4c,Hw2-4a,Hw2-4b,Hw2-4c,Wt1-4a,Wt1-4b,Wt1-4c,Wt2-4a,Wt2-4b,Wt2-4c
AK812_SmicGene33164,103,73,91,166,95,100,37,46,131,35,26,69
AK812_SmicGene33715,12,9,7,39,12,28,16,22,57,22,14,45
AK812_SmicGene33896,76,53,50,116,77,55,67,68,166,78,119,213
AK812_SmicGene34204,65,47,34,142,97,82,99,106,263,112,64,209
AK812_SmicGene34441,11,7,3,15,12,8,9,10,30,10,7,14
AK812_SmicGene34649,6,2,3,11,11,4,7,13,39,8,4,17
AK812_SmicGene34664,52,24,16,65,55,58,23,21,77,43,51,100
AK812_SmicGene34941,129,112,74,157,124,89,99,86,245,72,123,231
AK812_SmicGene3557,3,3,0,1,3,2,8,5,26,13,8,19
AK812_SmicGene35803,8,2,7,9,7,5,15,20,43,31,18,50
AK812_SmicGene36,24,14,11,18,11,19,5,9,24,9,8,27
AK812_SmicGene36189,20,15,8,39,27,21,29,33,85,38,34,96
AK812_SmicGene36363,2,4,3,4,5,2,4,1,5,2,1,14
AK812_SmicGene36391,21,8,7,21,16,9,18,19,31,26,15,32
AK812_SmicGene36418,50,33,42,61,33,37,46,28,87,30,22,63
AK812_SmicGene37141,49,35,27,58,51,43,55,48,170,48,47,134
AK812_SmicGene37382,103,80,60,221,126,122,39,34,106,56,39,105
AK812_SmicGene37828,19,15,18,34,22,18,28,17,55,41,61,107
AK812_SmicGene37828,144,92,66,173,126,74,150,111,412,156,180,389
AK812_SmicGene37972,40,26,22,47,33,32,30,32,80,40,23,76
AK812_SmicGene38714,10,7,1,6,6,8,4,4,9,3,5,10
AK812_SmicGene38747,76,48,40,100,88,67,41,39,103,52,70,140
AK812_SmicGene39686,83,48,38,135,111,93,67,56,177,103,57,171
AK812_SmicGene39795,8,12,4,25,15,21,16,14,47,22,9,28
AK812_SmicGene39947,23,13,5,44,27,19,20,16,39,13,25,55
AK812_SmicGene40181,121,104,87,141,104,89,64,71,157,61,44,145
AK812_SmicGene40181,4,1,3,2,2,2,8,6,12,12,4,16
AK812_SmicGene40583,90,56,50,127,78,59,51,46,136,58,21,101
AK812_SmicGene40583,125,100,80,141,94,73,39,52,98,50,33,128
AK812_SmicGene41491,27,29,19,41,24,32,12,12,30,12,17,43
AK812_SmicGene41645,19,18,6,49,31,28,12,13,53,22,23,40
AK812_SmicGene41645,23,24,15,20,22,11,11,5,21,12,12,18
AK812_SmicGene41654,52,57,55,51,55,47,28,39,78,29,17,60
AK812_SmicGene4195,37,33,27,52,38,32,23,13,36,11,12,41
AK812_SmicGene42205,8,4,1,7,2,3,2,2,6,2,3,4
AK812_SmicGene42282,22,15,11,19,12,19,17,25,52,20,21,48
AK812_SmicGene42478,258,177,132,308,198,163,131,103,291,120,128,277
AK812_SmicGene42885,28,17,17,28,31,28,22,16,42,21,22,38
AK812_SmicGene434,3,3,2,3,2,1,9,2,15,11,9,21
AK812_SmicGene43415,49,34,21,59,38,34,20,20,47,30,25,63
AK812_SmicGene43415,2,3,1,4,1,0,10,7,11,5,11,15
AK812_SmicGene43432,3,5,1,6,0,4,6,6,16,14,5,20
AK812_SmicGene43485,73,66,45,133,76,62,124,91,292,144,243,472
AK812_SmicGene43656,62,42,28,26,22,22,24,25,79,19,16,46
AK812_SmicGene44292,0,0,0,0,0,0,0,0,1,43,53,123
AK812_SmicGene4925,0,0,0,2,1,1,8,9,31,1,5,4
AK812_SmicGene494,9,5,8,6,4,4,10,4,12,3,7,15
AK812_SmicGene5213,17,16,10,48,25,22,20,24,48,26,41,59
AK812_SmicGene5452,7,4,5,15,12,9,7,9,26,7,7,19
AK812_SmicGene5663,23,18,18,57,19,32,29,19,65,25,28,54
AK812_SmicGene5851,32,14,16,26,6,16,27,31,65,29,25,55
AK812_SmicGene5851,24,28,13,36,36,18,23,15,38,22,10,50
AK812_SmicGene5925,49,37,18,94,56,67,30,35,97,39,47,117
AK812_SmicGene5978,31,22,18,56,31,17,24,18,65,31,35,83
AK812_SmicGene617,10,5,6,9,6,8,4,3,10,1,0,3
AK812_SmicGene6745,54,39,24,67,41,35,19,22,77,19,35,67
AK812_SmicGene6889,28,36,35,73,39,54,29,39,79,23,49,95
AK812_SmicGene7068,23,25,25,19,11,5,11,10,26,8,12,33
AK812_SmicGene7686,6,4,2,6,4,2,5,9,24,5,6,13
AK812_SmicGene7786,33,28,25,173,132,95,20,14,54,129,172,347
AK812_SmicGene7918,92,77,47,130,107,75,64,56,237,77,98,216
AK812_SmicGene8098,49,33,33,52,29,25,18,23,46,23,13,48
AK812_SmicGene845,14,5,8,7,2,2,0,2,5,3,2,3
AK812_SmicGene8477,14,10,14,39,24,19,26,16,38,15,18,59
AK812_SmicGene8686,169,110,113,182,129,110,67,78,182,90,111,210
AK812_SmicGene8970,67,49,38,123,53,51,39,47,86,30,21,72
AK812_SmicGene9044,78,65,52,212,146,104,55,67,182,82,98,234
AK812_SmicGene916,17,19,17,21,17,18,6,3,11,9,6,22
AKHSDH1,82,57,46,89,76,75,63,68,156,83,103,210
AKHSDH2,42,33,29,80,42,26,15,15,42,20,20,57
AKR1,29,15,18,24,31,15,8,8,23,11,15,21
AKR1,63,56,26,110,60,56,79,81,192,67,96,174
akr1,41,30,19,59,35,37,11,28,49,14,13,36
akr1a1b,47,41,27,59,31,29,22,35,61,21,20,52
AKR2A,206,150,158,203,163,162,247,257,532,225,226,482
AKR2B,81,64,58,81,68,51,44,46,102,42,17,52
AKR4C9,117,91,95,102,102,71,113,109,280,103,124,218
AKT1,196,138,137,246,168,126,51,69,181,76,67,161
AKT5,14,20,8,35,27,21,18,22,47,25,38,64
AL1,166,121,86,207,159,112,68,81,195,80,65,162
ALA3,7,2,4,7,5,4,23,10,50,21,39,68
ALA7,15,20,9,14,23,13,10,11,25,19,29,49
alaS,107,82,48,126,80,92,67,66,179,61,57,137
alaS,59,38,34,62,41,31,23,28,62,32,11,45
ALATS,62,43,24,51,48,39,54,43,136,114,134,278
ald,116,80,62,199,122,83,54,51,165,45,69,113
Aldh3a1,130,93,71,277,172,136,93,109,259,95,123,288
Aldh3a1,81,59,48,117,82,82,65,54,161,62,44,174
ALDH3A1,25,19,16,53,36,35,28,36,73,29,46,76
ALDH6A1,65,38,33,62,62,50,34,32,77,21,40,60
ALDH8A1,8,12,4,17,11,8,7,3,22,2,2,10
ALDOB,15,6,8,19,8,9,7,5,20,6,5,20
ALG11,31,23,15,21,17,12,6,12,25,17,22,67
ALG11,51,64,37,73,53,49,19,12,28,15,34,58
ALG11,323,196,183,345,211,206,59,78,190,99,131,247
alg13,97,65,48,93,70,62,45,45,130,54,31,100
ALKBH3,96,69,59,81,79,76,89,60,223,67,92,245
ALKBH3,25,22,13,38,23,13,10,6,14,9,10,33
Alkbh3,79,53,47,91,49,49,28,33,74,20,28,69
Alkbh3,190,125,111,184,105,111,51,54,149,76,76,162
Alkbh3,40,33,14,45,31,29,40,31,69,28,33,72
alkK,143,116,83,186,159,118,98,95,283,127,165,325
ALMA1,160,114,74,141,96,75,138,114,351,154,128,328
ALMA6,146,113,84,184,115,99,62,72,147,48,85,117
ALP1,64,43,40,86,51,44,17,16,57,14,29,56
alr2987,54,37,32,69,42,36,24,31,94,27,14,53
alr3912,32,24,19,41,26,21,11,5,22,10,8,17
