Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
AK812_SmicGene28950,43,38,56,56,37,20,13,35,9,41,14,10
AK812_SmicGene29814,5,10,3,8,10,4,2,4,2,9,3,2
AK812_SmicGene29927,4,4,8,6,11,3,4,10,11,13,3,6
AK812_SmicGene30020,0,1,1,2,0,0,1,0,1,1,0,0
AK812_SmicGene30278,12,10,12,16,12,10,6,19,8,17,2,5
AK812_SmicGene30486,77,93,111,64,30,46,83,221,108,155,79,98
AK812_SmicGene31214,28,44,62,62,41,27,40,89,47,96,29,34
AK812_SmicGene31214,0,2,1,3,4,0,5,9,0,3,1,0
AK812_SmicGene31484,122,100,76,124,76,96,122,169,116,229,48,77
AK812_SmicGene31537,80,112,165,169,80,76,70,166,96,162,51,59
AK812_SmicGene31550,5,9,9,2,2,3,0,0,3,3,2,1
AK812_SmicGene31628,44,42,57,44,34,30,21,56,25,50,11,19
AK812_SmicGene31801,7,10,18,25,14,8,16,30,10,32,7,10
AK812_SmicGene32143,7,6,8,12,4,2,2,10,3,16,1,5
AK812_SmicGene32175,12,21,15,43,14,12,14,35,7,28,8,4
AK812_SmicGene32534,31,47,28,30,17,18,29,63,23,49,20,23
AK812_SmicGene33142,84,89,113,120,52,26,33,72,44,120,19,21
AK812_SmicGene33164,117,91,89,103,47,49,36,51,26,48,6,24
AK812_SmicGene33715,3,1,6,10,9,3,9,9,3,14,4,5
AK812_SmicGene33896,32,49,54,53,28,19,41,74,59,99,15,19
AK812_SmicGene34204,12,33,45,80,36,27,38,86,43,70,20,36
AK812_SmicGene34441,4,9,4,14,5,5,9,11,4,10,6,2
AK812_SmicGene34649,2,0,4,2,2,2,2,9,2,2,1,2
AK812_SmicGene34664,27,32,30,72,43,35,10,32,16,67,16,28
AK812_SmicGene34941,77,90,89,141,77,91,89,118,63,179,40,54
