Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold517.13,159.7805667,0.008553088,0.105028719,0.081435703,0.935095456,0.960371644,FALSE
SymbC1.scaffold517.14,7.369570212,-1.153151349,0.260259188,-4.430780556,9.39e-6,6.05e-5,TRUE
SymbC1.scaffold517.15,8.212712699,-0.796029608,0.320935435,-2.480341903,0.013125646,0.035752268,TRUE
SymbC1.scaffold517.16,250.9938993,-0.082878859,0.069181271,-1.197995606,0.230918728,0.361090086,FALSE
SymbC1.scaffold517.17,33.72948135,0.777311836,0.151338173,5.136257582,2.8e-7,2.46e-6,TRUE
SymbC1.scaffold5170.1,24.1970565,-0.569766929,0.142472388,-3.999139326,6.36e-5,3.4e-4,TRUE
SymbC1.scaffold5171.1,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5171.3,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5171.4,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5172.1,54.86655361,-0.420274545,0.10518144,-3.995710117,6.45e-5,3.44e-4,TRUE
SymbC1.scaffold5172.2,100.2915196,0.198088228,0.08435723,2.348206894,0.01886404,0.048424206,TRUE
SymbC1.scaffold5172.3,22.03744511,0.122858246,0.159105348,0.77218175,0.440006789,0.579480545,FALSE
SymbC1.scaffold5172.4,2.84410005,-0.115356668,0.391967037,-0.294301963,0.768527173,0.850601121,FALSE
SymbC1.scaffold5172.5,91.38914935,-0.81973743,0.09787687,-8.375190501,5.51e-17,1.93e-15,TRUE
SymbC1.scaffold5173.3,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5173.5,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5174.1,11.03355262,2.459600967,0.273225158,9.00210284,2.21e-19,9.92e-18,TRUE
SymbC1.scaffold5176.1,2.785176081,0.336636767,0.412876679,0.815344591,0.414875091,0.556133774,FALSE
SymbC1.scaffold5176.2,2.610527068,-0.457281803,0.452780447,-1.009941586,0.312523277,0.452623264,FALSE
SymbC1.scaffold5178.2,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5179.1,23.0555176,-0.429307973,0.145357081,-2.953471339,0.003142218,0.010475107,TRUE
SymbC1.scaffold518.1,108.0151338,0.019815289,0.08789523,0.225442147,0.821635327,0.887280958,FALSE
SymbC1.scaffold518.2,22.19312927,8.916844058,1.000864692,8.9091404,5.14e-19,2.2e-17,TRUE
SymbC1.scaffold518.3,20.93603048,-0.580295611,0.183492347,-3.162505792,0.001564176,0.005720437,TRUE
SymbC1.scaffold518.4,6.030189154,-0.999536934,0.296766469,-3.368092551,7.57e-4,0.003037111,TRUE
SymbC1.scaffold518.5,32.20510671,-0.129491142,0.140369495,-0.922502015,0.35626678,0.497566313,FALSE
SymbC1.scaffold518.6,36.17905474,0.378177792,0.163101972,2.318658608,0.020413555,0.051685241,FALSE
SymbC1.scaffold518.9,48.33583669,0.259634732,0.108592564,2.390907105,0.016806805,0.04402262,TRUE
SymbC1.scaffold518.12,10.25608296,-0.169518705,0.21198439,-0.799675416,0.42389888,0.56438403,FALSE
SymbC1.scaffold5181.1,125.9937418,0.043414947,0.071694659,0.605553437,0.54481133,0.674050887,FALSE
SymbC1.scaffold5181.2,16.40864964,-0.195439347,0.176480104,-1.107429916,0.268108098,0.40423278,FALSE
SymbC1.scaffold5181.3,43.5199782,1.259576166,0.137669799,9.149255526,5.73e-20,2.74e-18,TRUE
SymbC1.scaffold5182.2,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5184.1,27.88458709,-0.247006673,0.156813963,-1.575157393,0.115220119,0.211019796,FALSE
SymbC1.scaffold5184.3,2.143255142,1.33096194,0.523492434,2.54246643,0.011007317,0.030823396,TRUE
SymbC1.scaffold5184.4,16.40441527,-0.167031887,0.18312894,-0.912099894,0.361716134,0.503061551,FALSE
SymbC1.scaffold5184.5,8.88846479,-0.100824043,0.252796724,-0.398834451,0.690015191,0.792933258,FALSE
SymbC1.scaffold5184.6,55.21416031,-0.315174772,0.119488744,-2.637694249,0.00834718,0.024332297,TRUE
SymbC1.scaffold5184.7,4.030507275,1.017288781,0.358808223,2.835188039,0.004579872,0.014520771,TRUE
SymbC1.scaffold5185.1,9.584289785,-0.234348803,0.229146064,-1.022704899,0.306447394,0.446317347,FALSE
SymbC1.scaffold5186.1,5.481494716,0.550808111,0.29372695,1.87523859,0.060759908,0.126945001,FALSE
SymbC1.scaffold5186.2,23.46738574,0.028174047,0.153543159,0.183492686,0.854411457,0.908917688,FALSE
SymbC1.scaffold5186.3,45.98900518,-2.50812351,0.373699667,-6.711602203,1.92e-11,3.32e-10,TRUE
SymbC1.scaffold5187.1,26.66875567,-0.37222735,0.187970267,-1.980245899,0.047675905,0.104307529,FALSE
SymbC1.scaffold5187.2,103.6138125,-0.075144203,0.112798868,-0.6661787,0.505296885,0.639752037,FALSE
SymbC1.scaffold5188.1,6.986402586,-0.381814356,0.273766722,-1.394670446,0.163115241,0.275987486,FALSE
SymbC1.scaffold5189.1,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5189.3,35.1273983,-0.01935362,0.12146715,-0.15933213,0.873407208,0.921311121,FALSE
SymbC1.scaffold519.1,0.104445527,0.493830071,2.644262191,0.186755335,0.851852468,NA,NA
SymbC1.scaffold519.3,14.15282336,0.270509017,0.198459126,1.363046501,0.172867856,0.288905667,FALSE
SymbC1.scaffold519.4,9.174509638,0.051464202,0.232874398,0.220995536,0.825095909,0.889276032,FALSE
