Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
gcy-21,212,273,273,208,230,148,153,112,91,277,78
gcy-28,79,125,113,70,81,28,70,38,35,48,16
GDA1,46,62,65,38,92,75,52,79,81,156,49
GDCST,126,148,145,104,140,44,97,33,38,112,48
Gde1,169,202,199,96,91,48,75,49,49,107,33
gdi1,226,266,222,156,172,23,127,41,29,94,40
GDPD1,13,18,26,15,12,16,11,26,25,43,21
gefF,1,1,2,1,1,1,3,0,0,4,6
get3,133,158,144,73,41,39,50,49,37,74,22
GF14F,141,152,159,169,181,58,152,78,76,124,39
GG18702,90,85,96,37,28,18,26,18,19,47,13
gghA,61,63,65,33,57,39,45,61,78,106,38
ggs,333,458,466,327,268,167,193,85,116,292,107
ggt,5,2,0,3,1,4,3,2,1,9,3
ggtb-1,22,28,35,14,26,7,19,5,7,16,6
GID1B,239,303,272,36,28,116,60,78,105,190,65
GIMAP6,140,200,182,167,197,89,146,84,100,176,69
Gins2,197,159,182,163,173,68,127,66,75,158,39
GK2103,15,27,25,18,25,10,13,7,16,25,10
GL12933,7,10,11,8,4,5,6,4,8,13,10
GL14463,12,12,14,18,14,7,13,6,21,31,13
Gla,35,57,48,24,22,24,26,14,21,32,17
glaA,22,29,31,13,29,15,24,9,19,12,5
GLCAK1,6,13,11,11,6,10,16,10,12,30,5
Gld,4,3,3,6,6,10,2,13,3,18,3
gld-2,17,38,40,18,49,24,28,28,21,69,7
Glipr2,168,189,153,146,171,53,92,58,38,121,38
glnS,118,147,151,142,136,24,100,26,41,73,22
GLO1,266,342,294,211,230,103,155,106,102,218,74
gloB,159,196,171,292,224,102,155,106,100,203,53
gloC,256,230,199,174,213,51,126,61,59,123,28
glpF,11,18,17,14,35,20,10,18,21,34,10
GLR3.1,10,7,8,8,10,22,10,11,17,39,13
GLRX,218,212,153,210,202,43,116,51,41,91,19
glt-1,131,150,153,107,146,61,97,59,59,140,53
GLT1,9,26,56,3,44,36,34,36,29,70,17
GLT8D2,0,0,0,20,42,23,27,24,19,40,7
gltB,22,28,45,21,31,16,17,16,19,34,16
gltp,27,45,37,25,25,29,26,26,39,59,28
gly-6,2,1,1,1,3,0,1,2,1,4,4
GLY1,191,231,316,167,182,82,150,103,115,226,67
GLYK,5,11,14,13,18,55,29,61,63,101,15
glyQS,86,83,66,66,82,15,48,21,19,43,16
GONST5,55,80,68,43,77,32,39,26,25,47,15
GORK,35,40,56,39,46,43,42,27,35,69,32
Gp5,8,12,8,3,5,4,2,3,5,13,6
GPATCH1,493,559,508,434,480,167,301,173,177,352,102
Gpatch3,17,23,26,11,29,28,21,32,31,76,24
Gpatch4,107,127,135,119,150,105,97,84,83,171,53
GPD,155,162,187,165,144,33,88,47,38,93,24
GPD1,194,238,196,244,248,110,204,116,148,301,110
gpi3,24,38,28,29,32,10,27,20,29,59,24
Gpld1,24,29,35,31,27,33,23,13,21,54,11
gpmA,66,66,71,83,105,44,52,40,44,80,23
gpn1,12,22,18,17,19,11,19,16,13,27,8
gpr180,95,106,80,89,58,37,70,45,49,88,44
GPT2,125,185,169,130,136,97,121,96,98,207,75
gra-orf6,136,153,149,160,137,48,95,42,55,88,33
GRC3,1,6,3,81,72,16,48,19,18,40,21
GRINA,40,32,35,21,32,31,27,39,39,75,11
groL1,0,0,0,4,1,1,1,0,1,3,0
groL7,39,49,63,44,66,46,39,35,46,82,31
grpE,33,40,56,47,55,35,35,58,39,75,18
grtp1,68,80,71,61,72,42,58,35,33,91,48
GRXC1,42,36,32,20,19,5,17,19,8,18,7
GSC2,100,119,152,68,98,37,79,28,42,90,31
gsdA,225,261,242,213,230,162,178,136,154,353,126
gsk-3,31,35,38,31,53,5,22,9,15,17,9
gsk3b,118,165,153,96,167,42,102,38,36,71,22
gskA,79,69,69,33,35,22,29,31,13,37,9
GSP1,3,3,1,8,6,6,15,16,17,24,10
GSPATT00010582001,104,126,114,110,112,57,63,53,59,123,30
GSPATT00020181001,129,137,90,126,113,738,290,634,318,262,121
GSPATT00029660001,5,11,12,27,35,13,25,8,16,20,4
gstB,9,12,14,7,7,1,5,4,2,11,3
GSTL1,28,24,27,23,18,26,24,23,31,54,18
GSTL3,335,253,245,192,231,107,162,131,122,215,69
Gstm2,21,35,25,16,18,4,12,2,4,14,4
Gstm6,151,140,121,112,113,44,66,34,51,95,31
GT11,97,142,165,105,141,32,77,27,54,74,36
gtb1,66,92,90,118,148,53,100,69,63,116,46
GTF3C5,262,305,303,219,362,122,232,137,157,298,74
guaA,428,516,502,333,372,132,255,122,151,250,90
gudu,119,137,134,159,173,48,102,65,80,133,46
GUT1,13,6,8,6,9,4,5,4,9,22,5
GUX2,48,59,47,37,42,7,26,14,7,23,15
GUX3,20,33,20,19,17,24,12,23,18,43,9
Gyc76C,21,24,24,37,99,28,69,24,38,61,24
GYG1,35,38,35,34,27,2,10,9,10,17,6
GYP5,19,39,26,55,90,31,51,42,38,84,33
HAS1,127,181,172,148,164,86,118,71,77,152,45
hbdA,68,85,69,52,68,98,61,107,91,182,62
HCBT2,50,63,76,95,26,45,41,46,59,109,49
Hcfc1,291,354,307,294,332,124,242,133,128,262,90
hda-6,21,19,25,18,17,4,14,9,7,11,6
hdaH,5,9,13,14,9,7,5,4,19,21,10
HDH,118,153,142,109,138,57,85,52,37,111,19
Hdhd2,27,27,30,26,24,12,14,12,7,21,4
HDHD3,236,299,298,179,206,106,153,129,124,277,86
hemC,104,118,103,111,99,6,70,15,11,21,3
HERC3,2,0,1,124,156,56,105,55,50,93,44
hetM,60,77,81,47,37,26,36,17,20,51,17
hflX,2,2,1,1,2,0,2,1,0,4,2
HFM1,19,33,29,12,17,16,22,40,31,80,33
